Artikelnummer;Beschreibung
106476;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 6500X Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 6500X Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 840006664703</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106476-1.jpg"" alt=""Corsair 6500X Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>Mini-ITX, Micro-ATX, ATX, E-ATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>0</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>10x 120mm oder 7x 140mm</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>2x USB 3.2 Gen1, 1x USB 3.2 Gen2 Type-E, 1x Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>481 mm x 328 mm x 496 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106477;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500D Airflow Mid-Tower Dual Chamber PC Case</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500D Airflow Mid-Tower Dual Chamber PC Case</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 0840006671411</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106477-1.jpg"" alt=""Corsair 2500D Airflow Mid-Tower Dual Chamber PC Case"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>0/0 mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB 3.2 Gen 2 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x Audio in/out</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm x 304 mm x 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Dual Chamber</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106478;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500D Airflow Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500D Airflow Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 0840006671428</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106478-1.jpg"" alt=""Corsair 2500D Airflow Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>0</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>11</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB 3.2 Gen 2 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x Audio in/out</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>479 mm x 304 mm x 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Mesh</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106479;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500X Tempered Glass mATX Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500X Tempered Glass mATX Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 0840006674962</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106479-1.jpg"" alt=""Corsair 2500X Tempered Glass mATX Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>2x 120 mm RGB</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>3x oben, 2x seitlich, 1x hinten</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>2x USB 3.2 Gen1, 1x USB 3.2 Gen2 Type-C, 1x Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm x 304 mm x 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Tempered Glass</li>                                              <li>Dual Chamber Design</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106480;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500X Tempered Glass mATX Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500X Tempered Glass mATX Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 0840006674979</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106480-1.jpg"" alt=""Corsair 2500X Tempered Glass mATX Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>2x 120 mm RGB</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>2x Front, 1x Rear, 3x Top, 3x Bottom</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>2x USB 3.2 Gen1 Type-A, 1x USB 3.2 Gen2 Type-C, Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm x 304 mm x 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Mesh</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106489;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 6500D Airflow Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 6500D Airflow Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106489-1.png"" alt=""Corsair 6500D Airflow Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>ATX, mATX, Mini-ITX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120 mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>9</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>360 mm, 280 mm, 240 mm, 120 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>2x USB 3.0, 1x USB-C, Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>481 mm x 328 mm x 496 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Mesh</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106490;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 6500D Airflow Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 6500D Airflow Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106490-1.jpg"" alt=""Corsair 6500D Airflow Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>ATX, mATX, Mini-ITX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>3x 120mm, 2x 140mm, 1x 120mm, 1x 140mm</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB-C, 4x USB 3.2 Gen 1, 1x Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>481 mm x 328 mm x 496 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Mesh</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106491;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 6500X Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 6500X Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106491-1.png"" alt=""Corsair 6500X Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>Mini-ITX, Micro-ATX, ATX, E-ATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>10</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB-C, 2x USB 3.2 Gen1, 1x USB 3.2 Gen2 Type-E, 1x Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>481 mm, 328 mm, 496 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106492;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 6500X Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 6500X Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106492-1.png"" alt=""Corsair 6500X Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>Mini-ITX, Micro-ATX, ATX, E-ATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>10x 120mm oder 7x 140mm</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120mm, 140mm, 240mm, 280mm, 360mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x HD Audio, 2x USB 3.2 Gen1, 1x USB-3.2 Gen2 Type-E</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>481 mm x 328 mm x 496 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106493;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500D Airflow Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500D Airflow Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106493-1.png"" alt=""Corsair 2500D Airflow Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB 3.2 Gen 2 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x Audio in/out</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm x 304 mm x 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>Mesh</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106494;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>2500D Airflow</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">2500D Airflow</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                                  <span class=""ean"">GTIN/EAN: 0840006671428</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106494-1.png"" alt=""2500D Airflow"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>Mini-ITX, mATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>0/120 mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120 mm, 140 mm, 240 mm, 280 mm, 360 mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB 3.2 Gen1, 1x USB-3.2 Gen2 Type-E, 1x HD Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm, 304 mm, 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
106495;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Corsair 2500X Airflow Tempered Glass Mid-Tower</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Corsair 2500X Airflow Tempered Glass Mid-Tower</h1>             <div class=""product-meta"">                 <span class=""badge"">PC-Gehäuse</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/106495-1.png"" alt=""Corsair 2500X Airflow Tempered Glass Mid-Tower"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Bauform</th>                             <td>Midi-Tower</td>                         </tr>                                                  <tr>                             <th>Mainboard-Kompatibilität</th>                             <td>Mini-ITX, Micro-ATX</td>                         </tr>                                                  <tr>                             <th>Vorinstallierte Lüfter</th>                             <td>4x 120mm</td>                         </tr>                                                  <tr>                             <th>Lüfter-Plätze</th>                             <td>9x 120mm, 6x 140mm</td>                         </tr>                                                  <tr>                             <th>Radiator-Support</th>                             <td>120mm, 140mm, 240mm, 280mm, 360mm</td>                         </tr>                                                  <tr>                             <th>Anschlüsse (I/O)</th>                             <td>1x USB 3.2 Gen1, 1x USB-3.2 Gen2 Type-E, 1x HD Audio</td>                         </tr>                                                  <tr>                             <th>Abmessungen (LxBxH)</th>                             <td>469 mm, 304 mm, 376 mm</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                           <div style=""margin-top: 40px;"">             <div class=""highlights-box"">                 <span class=""highlights-title"">Highlights & Besonderheiten</span>                 <ul class=""highlights-list"">                                              <li>Glasfenster</li>                                              <li>RGB</li>                                      </ul>             </div>         </div>                   <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
